超拔	chaoba,cb
超级跑车	chaojipaoche,cjpc
超级强国	chaojiqiangguo,cjqg
超级市场	chaojishichang,cjsc
超级碗	chaojiwan,cjw
超籍	chaoji,cj
超迹	chaoji,cj
超假	chaojia,cj
超荐	chaojian,cj
超奬	chaojiang,cj
超阶	chaojie,cj
超阶越次	chaojieyueci,cjyc
超捷	chaojie,cj
超界	chaojie,cj
超今冠古	chaojinguangu,cjgg
超今绝古	chaojinjuegu,cjjg
超今越古	chaojinyuegu,cjyg
超进	chaojin,cj
超经验	chaojingyan,cjy
超警	chaojing,cj
超救	chaojiu,cj
超距	chaoju,cj
超距作用	chaojuzuoyong,cjzy
超隽	chaojun,cj
超绝	chaojue,cj
超绝非凡	chaojuefeifan,cjff
超俊	chaojun,cj
超峻	chaojun,cj
超空	chaokong,ck
超鞚	chaokong,ck
超旷	chaokuang,ck
超阔	chaokuo,ck
超朗	chaolang,cl
超类绝伦	chaoleijuelun,cljl
超离	chaoli,cl
超连结	chaolianjie,clj
超联	chaolian,cl
超链接	chaolianjie,clj
超链结	chaolianjie,clj
超量	chaoliang,cl
超辽	chaoliao,cl
超躐	chaolie,cl
超临界	chaolinjie,clj
超凌	chaoling,cl
超龄	chaoling,cl
超伦	chaolun,cl
超伦轶群	chaolunyiqun,clyq
超马	chaoma,cm
超迈	chaomai,cm
超迈绝伦	chaomaijuelun,cmjl
超卖	chaomai,cm
超媒体	chaomeiti,cmt
超邈	chaomiao,cm
超妙	chaomiao,cm
超敏反应	chaominfanying,cmfy
超模	chaomo,cm
超能力	chaonengli,cnl
超跑	chaopao,cp
超频	chaopin,cp
超平面	chaopingmian,cpm
超期	chaoqi,cq
超期服役	chaoqifuyi,cqfy
超奇	chaoqi,cq
超迁	chaoqian,cq
超前	chaoqian,cq
超前绝后	chaoqianjuehou,cqjh
超前瞄准	chaoqianmiaozhun,cqmz
超前消费	chaoqianxiaofei,cqxf
超前轶后	chaoqianyihou,cqyh
超前意识	chaoqianyishi,cqys
超群	chaoqun,cq
超群拔萃	chaoqunbacui,cqbc
超群拔类	chaoqunbalei,cqbl
超群出众	chaoqunchuzhong,cqcz
超群地	chaoqunde,cqd
超群绝伦	chaoqunjuelun,cqjl
超群轶类	chaoqunyilei,cqyl
超群越辈	chaoqunyuebei,cqyb
超然	chaoran,cr
超然不群	chaoranbuqun,crbq
超然独处	chaoranduchu,crdc
超然独立	chaoranduli,crdl
超然绝俗	chaoranjuesu,crjs
超然迈伦	chaoranmailun,crml
超然世事	chaoranshi,crs
超然物外	chaoranwuwai,crww
超然象外	chaoranxiangwai,crxw
超然远举	chaoranyuanju,cryj
超然远引	chaoranyuanyin,cryy
超然自得	chaoranzide,crzd
超然自逸	chaoranziyi,crzy
超然自引	chaoranziyin,crzy
超人	chaoren,cr
超人地	chaorende,crd
超肉体地	chaoroutide,crtd
超商	chaoshang,cs
超升	chaosheng,cs
超生	chaosheng,cs
超声	chaosheng,cs
超声波	chaoshengbo,csb
超声波检查	chaoshengbojiancha,csbjc
超声频	chaoshengpin,csp
超声扫描	chaoshengsaomiao,cssm
超声速	chaoshengsu,css
超胜	chaosheng,cs
超石	chaoshi,cs
超时	chaoshi,cs
超世	chaoshi,cs
超世拔俗	chaoshibasu,csbs
超世绝伦	chaoshijuelun,csjl
超世绝俗	chaoshijuesu,csjs
超世之才	chaoshizhicai,cszc
超市	chaoshi,cs
超收	chaoshou,cs
超手回廊	chaoshouhuilang,cshl
超手游廊	chaoshouyoulang,csyl
超售	chaoshou,cs
超授	chaoshou,cs
超殊	chaoshu,cs
超摅	chaoshu,cs
超水平	chaoshuiping,csp
超俗	chaosu,cs
超俗绝世	chaosujueshi,csjs
超速	chaosu,cs
超特	chaote,ct
超腾	chaoteng,ct
超突	chaotu,ct
超脱	chaotuo,ct
超维空间	chaoweikongjian,cwkj
超文本	chaowenben,cwb
超文本标记语言	chaowenbenbiaojiyuyan,cwbbjyy
超文本传输协定	chaowenbenchuanshuxieding,cwbcsxd
超文本传送协议	chaowenbenchuansongxieyi,cwbcsxy
超文件	chaowenjian,cwj
超文件传输协定	chaowenjianchuanshuxieding,cwjcsxd
超我	chaowo,cw
超伍	chaowu,cw
超物	chaowu,cw
超物理	chaowuli,cwl
超悟	chaowu,cw
超弦	chaoxian,cx
超现实主义	chaoxianshizhuyi,cxszy
超限战	chaoxianzhan,cxz
超骧	chaoxiang,cx
超新星	chaoxinxing,cxx
超新星剩余	chaoxinxingshengyu,cxxsy
超星系团	chaoxingxituan,cxxt
超形	chaoxing,cx
超雪	chaoxue,cx
超雅	chaoya,cy
超言	chaoyan,cy
超验主义	chaoyanzhuyi,cyzy
超摇	chaoyao,cy
超遥	chaoyao,cy
超野	chaoye,cy
超一流	chaoyiliu,cyl
超以象外	chaoyixiangwai,cyxw
超异	chaoyi,cy
超诣	chaoyi,cy
超轶	chaoyi,cy
超轶绝尘	chaoyijuechen,cyjc
超逸	chaoyi,cy
超逸绝尘	chaoyijuechen,cyjc
超音波	chaoyinbo,cyb
超音速	chaoyinsu,cys
超颖	chaoying,cy
超影	chaoying,cy
超用	chaoyong,cy
超幽	chaoyou,cy
超友谊关系	chaoyouyiguanxi,cyygx
超逾	chaoyu,cy
超踰	chaoyu,cy
超员	chaoyuan,cy
超远	chaoyuan,cy
超跃	chaoyue,cy
超越	chaoyue,cy
超越方程	chaoyuefangcheng,cyfc
超越数	chaoyueshu,cys
超越主义	chaoyuezhuyi,cyzy
超载	chaozai,cz
超增补廪	chaozengbulin,czbl
超长	chaochang,cc
超着	chaozhe,cz
超支	chaozhi,cz
超值	chaozhi,cz
超陟	chaozhi,cz
超重	chaozhong,cz
超重氢	chaozhongqing,czq
超重元素	chaozhongyuansu,czys
超转	chaozhuan,cz
超卓	chaozhuo,cz
超擢	chaozhuo,cz
超自然	chaoziran,czr
超自然地	chaozirande,czrd
超走	chaozou,cz
超足	chaozu,cz
超足球	chaozuqiu,czq
