方碍	fangai,fa
方围	fangwei,fw
方维	fangwei,fw
方尾鹟	fangweiweng,fww
方位	fangwei,fw
方位词	fangweici,fwc
方位角	fangweijiao,fwj
方文山	fangwenshan,fws
方闻	fangwen,fw
方闻科	fangwenke,fwk
方物	fangwu,fw
方釳	fangxi,fx
方舄	fangxi,fx
方夏	fangxia,fx
方先生	fangxiansheng,fxs
方限	fangxian,fx
方相	fangxiang,fx
方相氏	fangxiangshi,fxs
方骧	fangxiang,fx
方响	fangxiang,fx
方向	fangxiang,fx
方向舵	fangxiangduo,fxd
方向感	fangxianggan,fxg
方向盘	fangxiangpan,fxp
方向性	fangxiangxing,fxx
方心	fangxin,fx
方行	fangxing,fx
方形	fangxing,fx
方形地	fangxingde,fxd
方兴未艾	fangxingweiai,fxwa
方兴未已	fangxingweiyi,fxwy
方兄	fangxiong,fx
方絮	fangxu,fx
方轩	fangxuan,fx
方雅	fangya,fy
方严	fangyan,fy
方言	fangyan,fy
方言矩行	fangyanjuxing,fyjx
方扬	fangyang,fy
方羊	fangyang,fy
方佯	fangyang,fy
方洋	fangyang,fy
方药	fangyao,fy
方仪	fangyi,fy
方夷	fangyi,fy
方颐	fangyi,fy
方以类聚	fangyileiju,fylj
方诣	fangyi,fy
方裔	fangyi,fy
方毅	fangyi,fy
方音	fangyin,fy
方殷	fangyin,fy
方堙	fangyin,fy
方歅	fangyin,fy
方諲	fangyin,fy
方游	fangyou,fy
方隅	fangyu,fy
方舆	fangyu,fy
方语	fangyu,fy
方域	fangyu,fy
方喻	fangyu,fy
方员	fangyuan,fy
方员可施	fangyuankeshi,fyks
方圆	fangyuan,fy
方辕	fangyuan,fy
方岳	fangyue,fy
方载	fangzai,fz
方凿圆枘	fangzaoyuanrui,fzyr
方泽	fangze,fz
方张	fangzhang,fz
方长宜	fangchangyi,fcy
方丈	fangzhang,fz
方丈僧	fangzhangseng,fzs
方丈室	fangzhangshi,fzs
方丈洲	fangzhangzhou,fzz
方丈字	fangzhangzi,fzz
方帐	fangzhang,fz
方召	fangzhao,fz
方兆	fangzhao,fz
方折	fangshe,fs
方者	fangzhe,fz
方贞	fangzhen,fz
方针	fangzhen,fz
方珍	fangzhen,fz
方诊	fangzhen,fz
方枕	fangzhen,fz
方阵	fangzhen,fz
方镇	fangzhen,fz
方整	fangzheng,fz
方正	fangzheng,fz
方正不阿	fangzhengbue,fzbe
方正县	fangzhengxian,fzx
方正字	fangzhengzi,fzz
方知	fangzhi,fz
方执	fangzhi,fz
方直	fangzhi,fz
方止	fangzhi,fz
方趾	fangzhi,fz
方趾圆颅	fangzhiyuanlu,fzyl
方志	fangzhi,fz
方志敏	fangzhimin,fzm
方制	fangzhi,fz
方质	fangzhi,fz
方峙	fangzhi,fz
方中	fangzhong,fz
方重	fangzhong,fz
方州	fangzhou,fz
方舟	fangzhou,fz
方诸	fangzhu,fz
方竹	fangzhu,fz
方竹杖	fangzhuzhang,fzz
方砖	fangzhuan,fz
方庄	fangzhuang,fz
方准	fangzhun,fz
方拙	fangzhuo,fz
方桌	fangzhuo,fz
方滋未艾	fangziweiai,fzwa
方子	fangzi,fz
方字	fangzi,fz
方足	fangzu,fz
方足圆颅	fangzuyuanlu,fzyl
方𨰿	fangxi,fx
