九阿	jiua,ja
九畿	jiuji,jj
九级浮图	jiujifutu,jjft
九极	jiuji,jj
九棘	jiuji,jj
九集	jiuji,jj
九纪	jiuji,jj
九家	jiujia,jj
九间朝殿	jiujianchaodian,jjcd
九间大殿	jiujiandadian,jjdd
九剑酒	jiujian,jj
九江	jiujiang,jj
九江八河	jiujiangbahe,jjbh
九江地区	jiujiangdiqu,jjdq
九江市	jiujiangshi,jjs
九江县	jiujiangxian,jjx
九降	jiujiang,jj
九阶	jiujie,jj
九街	jiujie,jj
九节鞭	jiujiebian,jjb
九节狸	jiujiemai,jjm
九节蒲	jiujiepu,jjp
九节杖	jiujiezhang,jjz
九劫	jiujie,jj
九截	jiujie,jj
九解	jiujie,jj
九介	jiujie,jj
九戒	jiujie,jj
九界	jiujie,jj
九金	jiujin,jj
九津	jiujin,jj
九觔黄	jiujinhuang,jjh
九筋黄	jiujinhuang,jjh
九禁	jiujin,jj
九京	jiujing,jj
九经	jiujing,jj
九经库	jiujingku,jjk
九茎	jiujing,jj
九精	jiujing,jj
九井	jiujing,jj
九九	jiu,j
九九乘法表	jiuchengfabiao,jcfb
九九归一	jiuguiyi,jgy
九九归原	jiuguiyuan,jgy
九九图	jiutu,jt
九九消寒图	jiuxiaohantu,jxht
九九重阳	jiuchongyang,jcy
九臼	jiu,j
九居	jiuju,jj
九举	jiuju,jj
九拒	jiuju,jj
九距	jiuju,jj
九绝兽	jiujueshou,jjs
九军	jiujun,jj
九郡	jiujun,jj
九骏	jiujun,jj
九坎	jiukan,jk
九考	jiukao,jk
九坑	jiukeng,jk
九孔	jiukong,jk
九孔螺	jiukongluo,jkl
九孔针	jiukongzhen,jkz
九叩	jiukou,jk
九叩礼	jiukouli,jkl
九逵	jiukui,jk
九馗	jiukui,jk
九兰	jiulan,jl
九牢	jiulao,jl
九老	jiulao,jl
九老会	jiulaohui,jlh
九老图	jiulaotu,jlt
九垒	jiulei,jl
九肋	jiulei,jl
九黎	jiuli,jl
九礼	jiuli,jl
九里	jiuli,jl
九里区	jiuliqu,jlq
九里山	jiulishan,jls
九里松	jiulisong,jls
九里香	jiulixiang,jlx
九鲤湖	jiulihu,jlh
九连环	jiulianhuan,jlh
九莲灯	jiuliandeng,jld
九梁	jiuliang,jl
九梁朝冠	jiuliangchaoguan,jlcg
九两	jiuliang,jl
九列	jiulie,jl
九烈三贞	jiuliesanzhen,jlsz
九裂	jiulie,jl
九灵	jiuling,jl
九陵	jiuling,jl
九零后	jiulinghou,jlh
九龄	jiuling,jl
九流	jiuliu,jl
九流百家	jiuliubaijia,jlbj
九流宾客	jiuliubinke,jlbk
九流人物	jiuliurenwu,jlrw
九流三教	jiuliusanjiao,jlsj
九流十家	jiuliushijia,jlsj
九旒	jiuliu,jl
九旒冕	jiuliumian,jlm
九六	jiuliu,jl
九龙	jiulong,jl
九龙壁	jiulongbi,jlb
九龙城	jiulongcheng,jlc
九龙城寨	jiulongchengzhai,jlcz
九龙池	jiulongchi,jlc
九龙殿	jiulongdian,jld
九龙坡	jiulongpo,jlp
九龙坡区	jiulongpoqu,jlpq
九龙县	jiulongxian,jlx
九隆	jiulong,jl
九漏	jiulou,jl
九路	jiulu,jl
九虑	jiulu,jl
九轮	jiulun,jl
九罗	jiuluo,jl
九洛	jiuluo,jl
九雒	jiuluo,jl
九马	jiuma,jm
九芒	jiumang,jm
九芒珠	jiumangzhu,jmz
九门	jiumen,jm
九门提督	jiumentidu,jmtd
九面体	jiumianti,jmt
九庙	jiumiao,jm
九旻	jiumin,jm
九冥	jiuming,jm
九溟	jiuming,jm
九命	jiuming,jm
九陌	jiumo,jm
九陌钱	jiumoqian,jmq
九牧	jiumu,jm
九难	jiunan,jn
九能	jiuneng,jn
九年面壁	jiunianmianbi,jnmb
九年之储	jiunianzhichu,jnzc
九年之蓄	jiunianzhixu,jnzx
九娘	jiuniang,jn
九牛拔不出	jiuniubabuchu,jnbbc
九牛二虎之力	jiuniuerhuzhili,jnehzl
九牛拉不转	jiuniulabuzhuan,jnlbz
九牛毛	jiuniumao,jnm
九牛去得一毛	jiuniuqudeyimao,jnqdym
九牛万象之力	jiuniuwanxiangzhili,jnwxzl
九牛一毫	jiuniuyihao,jnyh
九牛一毛	jiuniuyimao,jnym
九农	jiunong,jn
九弄	jiunong,jn
九女	jiunu,jn
九女春	jiunuchun,jnc
九女星	jiunuxing,jnx
九葩	jiupa,jp
九派	jiupai,jp
九湃	jiupai,jp
九盘	jiupan,jp
九嫔	jiupin,jp
九品	jiupin,jp
九品莲池	jiupinlianchi,jplc
九品莲台	jiupinliantai,jplt
九品中正	jiupinzhongzheng,jpzz
九品中正制	jiupinzhongzhengzhi,jpzzz
九鬿	jiuqi,jq
九旗	jiuqi,jq
九千岁	jiuqiansui,jqs
九阡	jiuqian,jq
九迁	jiuqian,jq
九乾	jiuqian,jq
九窍	jiuqiao,jq
九亲	jiuqin,jq
九卿	jiuqing,jq
九卿相	jiuqingxiang,jqx
九清	jiuqing,jq
九丘	jiuqiu,jq
九邱	jiuqiu,jq
九秋	jiuqiu,jq
九区	jiuqu,jq
九曲	jiuqu,jq
九曲肠	jiuquchang,jqc
九曲回肠	jiuquhuichang,jqhc
九曲珠	jiuquzhu,jqz
九衢	jiuqu,jq
九衢尘	jiuquchen,jqc
九衢三市	jiuqusanshi,jqss
九趣	jiuqu,jq
九泉	jiuquan,jq
九泉之下	jiuquanzhixia,jqzx
九阙	jiuque,jq
九壤	jiurang,jr
九人	jiuren,jr
九仞	jiuren,jr
九仞一篑	jiurenyikui,jryk
九日	jiuri,jr
九戎	jiurong,jr
九容	jiurong,jr
九如	jiuru,jr
九如乡	jiuruxiang,jrx
九儒十丐	jiurushigai,jrsg
九儒十匄	jiurushigai,jrsg
九乳	jiuru,jr
九塞	jiusai,js
九三鼎	jiusanding,jsd
九三学社	jiusanxueshe,jsxs
九色	jiuse,js
九僧	jiuseng,js
九僧诗	jiusengshi,jss
九山	jiushan,js
九埏	jiushan,js
九伤	jiushang,js
九韶	jiushao,js
九射格	jiushege,jsg
九神	jiushen,js
九升	jiusheng,js
九声	jiusheng,js
九声六调	jiushengliudiao,jsld
九圣	jiusheng,js
九师	jiushi,js
九十	jiushi,js
九世	jiushi,js
九世仇	jiushichou,jsc
九世之仇	jiushizhichou,jszc
九市	jiushi,js
九室	jiushi,js
九逝	jiushi,js
九筮	jiushi,js
九簭	jiushi,js
九首	jiushou,js
九熟	jiushu,js
九属	jiushu,js
九暑	jiushu,js
九数	jiushu,js
九税	jiushui,js
九丝	jiusi,js
九司	jiusi,js
九思	jiusi,js
九死	jiusi,js
九死不悔	jiusibuhui,jsbh
九死厄	jiusie,jse
九死魂	jiusihun,jsh
九死未悔	jiusiweihui,jswh
九死一生	jiusiyisheng,jsys
九寺	jiusi,js
九驷	jiusi,js
九薮	jiusou,js
九素	jiusu,js
九锁	jiusuo,js
九台	jiutai,jt
九台区	jiutaiqu,jtq
九慝	jiute,jt
九体	jiuti,jt
九天	jiutian,jt
九天材料	jiutiancailiao,jtcl
九天采访	jiutiancaifang,jtcf
九天采访使者	jiutiancaifangshizhe,jtcfsz
九天九地	jiutiandi,jtd
九天揽月	jiutianlanyue,jtly
九天女	jiutiannu,jtn
九天使者	jiutianshizhe,jtsz
九天仙女	jiutianxiannu,jtxn
九天玄女	jiutianxuannu,jtxn
九停	jiuting,jt
九通	jiutong,jt
九通衢	jiutongqu,jtq
九头八尾	jiutoubawei,jtbw
九头纪	jiutouji,jtj
九头鸟	jiutouniao,jtn
九头狮子	jiutoushizi,jtsz
九投	jiutou,jt
九涂	jiutu,jt
九土	jiutu,jt
九畹	jiuwan,jw
九畹菜	jiuwancai,jwc
九畹花	jiuwanhua,jwh
九围	jiuwei,jw
九维	jiuwei,jw
九尾	jiuwei,jw
九尾龟	jiuweigui,jwg
九尾狐	jiuweihu,jwh
九尾狐狸	jiuweihuli,jwhl
九尾禽	jiuweiqin,jwq
九纬	jiuwei,jw
九位	jiuwei,jw
九文	jiuwen,jw
九乌	jiuwu,jw
九五	jiuwu,jw
九五之尊	jiuwuzhizun,jwzz
九息	jiuxi,jx
九溪	jiuxi,jx
九锡	jiuci,jc
九锡花	jiuxihua,jxh
九锡文	jiuxiwen,jxw
九遐	jiuxia,jx
九霞	jiuxia,jx
九霞丹	jiuxiadan,jxd
九霞裾	jiuxiaju,jxj
九霞裙	jiuxiaqun,jxq
九霞觞	jiuxiashang,jxs
九霞巵	jiuxiazhi,jxz
九夏	jiuxia,jx
九仙	jiuxian,jx
九弦琴	jiuxianqin,jxq
九贤	jiuxian,jx
九县	jiuxian,jx
九限	jiuxian,jx
九献	jiuxian,jx
九相	jiuxiang,jx
九香虫	jiuxiangchong,jxc
九霄	jiuxiao,jx
九霄云外	jiuxiaoyunwai,jxyw
九校联盟	jiuxiaolianmeng,jxlm
九些	jiuxie,jx
九星	jiuxing,jx
九刑	jiuxing,jx
九行	jiuhang,jh
九行八业	jiuhangbaye,jhby
九形	jiuxing,jx
九姓	jiuxing,jx
九朽一罢	jiuxiuyiba,jxyb
九序	jiuxu,jx
九叙	jiuxu,jx
九玄	jiuxuan,jx
九旋	jiuxuan,jx
九旬老人	jiuxunlaoren,jxlr
九崖	jiuya,jy
九言	jiuyan,jy
九筵	jiuyan,jy
九堰	jiuyan,jy
九阳	jiuyang,jy
九阳巾	jiuyangjin,jyj
九钥	jiuyue,jy
九曜	jiuyao,jy
九野	jiuye,jy
九叶	jiuye,jy
九夜	jiuye,jy
九液	jiuye,jy
九一八事变	jiuyibashibian,jybsb
九仪	jiuyi,jy
九夷	jiuyi,jy
九疑	jiuyi,jy
九疑仙人	jiuyixianren,jyxr
九嶷	jiuyi,jy
九嶷山	jiuyishan,jys
九译	jiuyi,jy
九逸	jiuyi,jy
九裔	jiuyi,jy
九因	jiuyin,jy
九阴	jiuyin,jy
九姻	jiuyin,jy
九音锣	jiuyinluo,jyl
九闉	jiuyin,jy
九垠	jiuyin,jy
九英	jiuying,jy
九英梅	jiuyingmei,jym
九婴	jiuying,jy
九楹	jiuying,jy
九瀛	jiuying,jy
九影	jiuying,jy
九幽	jiuyou,jy
九斿	jiuyou,jy
九游	jiuyou,jy
九有	jiuyou,jy
九佑	jiuyou,jy
九囿	jiuyou,jy
九隅	jiuyu,jy
九虞	jiuyu,jy
九宇	jiuyu,jy
九域	jiuyu,jy
九域尘	jiuyuchen,jyc
九域图	jiuyutu,jyt
九御	jiuyu,jy
九罭	jiuyu,jy
九緎	jiuyu,jy
九渊	jiuyuan,jy
九元	jiuyuan,jy
九原	jiuyuan,jy
九原可作	jiuyuankezuo,jykz
九原区	jiuyuanqu,jyq
九原丈人	jiuyuanzhangren,jyzr
九缘	jiuyuan,jy
九源	jiuyuan,jy
九约	jiuyue,jy
九月	jiuyue,jy
九月份	jiuyuefen,jyf
九月九	jiuyue,jy
九籥	jiuyue,jy
九籥丹	jiuyuedan,jyd
九云诰	jiuyungao,jyg
九云锣	jiuyunluo,jyl
九陨	jiuyun,jy
九殒	jiuyun,jy
九运	jiuyun,jy
九酝	jiuyun,jy
九酝法	jiuyunfa,jyf
九则	jiuze,jz
九泽	jiuze,jz
九寨沟	jiuzhaigou,jzg
九寨沟风景名胜区	jiuzhaigoufengjingmingshengqu,jzgfjmsq
九寨沟县	jiuzhaigouxian,jzgx
九章	jiuzhang,jz
九章算术	jiuzhangsuanshu,jzss
九章衣	jiuzhangyi,jzy
九招	jiuzhao,jz
九折	jiuzhe,jz
九折臂	jiuzhebi,jzb
九箴	jiuzhen,jz
九征	jiuzhi,jz
九蒸三熯	jiuzhengsanhan,jzsh
九芝	jiuzhi,jz
九枝	jiuzhi,jz
九枝灯	jiuzhideng,jzd
九枝花	jiuzhihua,jzh
九执	jiuzhi,jz
九职	jiuzhi,jz
九雉	jiuzhi,jz
九终	jiuzhong,jz
九钟	jiuzhong,jz
九种	jiuzhong,jz
九重	jiuchong,jc
九重城	jiuchongcheng,jcc
九重阁	jiuchongge,jcg
九重宫	jiuchonggong,jcg
九重关	jiuchongguan,jcg
九重闺	jiuchonggui,jcg
九重墙	jiuchongqiang,jcq
九重泉	jiuchongquan,jcq
九重锁	jiuchongsuo,jcs
九重天	jiuchongtian,jct
九重围	jiuchongwei,jcw
九重霄	jiuchongxiao,jcx
九州	jiuzhou,jz
九州璜	jiuzhouhuang,jzh
九州四海	jiuzhousihai,jzsh
九洲四海	jiuzhousihai,jzsh
九铢	jiuzhu,jz
九主	jiuzhu,jz
九转	jiuzhuan,jz
九转丹	jiuzhuandan,jzd
九转鼎	jiuzhuanding,jzd
九转功成	jiuzhuangongcheng,jzgc
九转还丹	jiuzhuanhuandan,jzhd
九转金丹	jiuzhuanjindan,jzjd
九子	jiuzi,jz
九子铃	jiuziling,jzl
九子魔母	jiuzimomu,jzmm
九子母	jiuzimu,jzm
九子蒲	jiuzipu,jzp
九子山	jiuzishan,jzs
九子粽	jiuzizong,jzz
九宗	jiuzong,jz
九宗七祖	jiuzongqizu,jzqz
九奏	jiuzou,jz
九奏乐	jiuzouyue,jzy
九族	jiuzu,jz
九族生天	jiuzushengtian,jzst
九祖	jiuzu,jz
九祖升天	jiuzushengtian,jzst
九钻	jiuzuan,jz
九佐	jiuzuo,jz
