强霸	qiangba,qb
强弩末矢	qiangnumoshi,qnms
强弩之极	qiangnuzhiji,qnzj
强弩之末	qiangnuzhimo,qnzm
强虐	qiangnue,qn
强迫	qiangpo,qp
强迫地	qiangpode,qpd
强迫观念	qiangpoguannian,qpgn
强迫劳动	qiangpolaodong,qpld
强迫人地	qiangporende,qprd
强迫性	qiangpoxing,qpx
强迫性储物症	qiangpoxingchuwuzheng,qpxcwz
强迫性性行为	qiangpoxingwei,qpxw
强迫症	qiangpozheng,qpz
强迫自己不断地	qiangpozijibuduande,qpzjbdd
强起	qiangqi,qq
强气	qiangqi,qq
强钳	qiangqian,qq
强强	qiang,q
强强联合	qianglianhe,qlh
强抢	qiang,q
强切	qiangqie,qq
强亲	qiangqin,qq
强求	qiangqiu,qq
强求地	qiangqiude,qqd
强屈	qiangqu,qq
强瞿	qiangqu,qq
强取	qiangqu,qq
强取地	qiangqude,qqd
强取豪夺	qiangquhaoduo,qqhd
强权	qiangquan,qq
强劝	qiangquan,qq
强热带风暴	qiangredaifengbao,qrdfb
强人	qiangren,qr
强人所难	qiangrensuonan,qrsn
强仁	qiangren,qr
强忍	qiangren,qr
强忍悲痛	qiangrenbeitong,qrbt
强韧	qiangren,qr
强如	qiangru,qr
强弱	qiangruo,qr
强塞	qiangsai,qs
强涩	qiangse,qs
强杀	qiangsha,qs
强煞	qiangsha,qs
强身	qiangshen,qs
强身健体	qiangshenjianti,qsjt
强生	qiangsheng,qs
强生公司	qiangshenggongsi,qsgs
强胜	qiangsheng,qs
强盛	qiangsheng,qs
强识	qiangzhi,qz
强识博闻	qiangshibowen,qsbw
强实	qiangshi,qs
强食	qiangshi,qs
强食靡角	qiangshimijiao,qsmj
强食弱肉	qiangshiruorou,qsrr
强食自爱	qiangshiziai,qsza
强使	qiangshi,qs
强世	qiangshi,qs
强仕	qiangshi,qs
强市	qiangshi,qs
强势	qiangshi,qs
强饰	qiangshi,qs
强手	qiangshou,qs
强寿	qiangshou,qs
强孰	qiangshu,qs
强竖	qiangshu,qs
强恕	qiangshu,qs
强水	qiangshui,qs
强说	qiangshuo,qs
强死	qiangsi,qs
强死赖活	qiangsilaihuo,qslh
强死强活	qiangsihuo,qsh
强似	qiangsi,qs
强肆	qiangsi,qs
强酸	qiangsuan,qs
强岁	qiangsui,qs
强台	qiangtai,qt
强慝	qiangte,qt
强听	qiangting,qt
强挺	qiangting,qt
强通	qiangtong,qt
强头倔脑	qiangtoujuenao,qtjn
强头强脑	qiangtoujiangnao,qtjn
强徒	qiangtu,qt
强团练	qiangtuanlian,qtl
强顽	qiangwan,qw
强文	qiangwen,qw
强文假醋	qiangwenjiacu,qwjc
强文浉醋	qiangwenshicu,qwsc
强梧	qiangwu,qw
强武	qiangwu,qw
强悟	qiangwu,qw
强袭	qiangxi,qx
强阋	qiangxi,qx
强黠	qiangxia,qx
强相互作用	qiangxianghuzuoyong,qxhzy
强项	qiangxiang,qx
强项令	qiangxiangling,qxl
强笑	qiangxiao,qx
强心剂	qiangxinji,qxj
强心针	qiangxinzhen,qxz
强行	qiangxing,qx
强行地	qiangxingde,qxd
强行军	qiangxingjun,qxj
强形	qiangxing,qx
强姓	qiangxing,qx
强雄	qiangxiong,qx
强学	qiangxue,qx
强压	qiangya,qy
强衙	qiangya,qy
强言	qiangyan,qy
强颜	qiangyan,qy
强颜欢笑	qiangyanhuanxiao,qyhx
强羊	qiangyang,qy
强阳	qiangyang,qy
强蛘	qiangyang,qy
强埶	qiangyi,qy
强毅	qiangyi,qy
强音	qiangyin,qy
强音踏板	qiangyintaban,qytb
强饮强食	qiangyinshi,qys
强硬	qiangying,qy
强硬地	qiangyingde,qyd
强硬立场	qiangyinglichang,qylc
强硬派	qiangyingpai,qyp
强硬态度	qiangyingtaidu,qytd
强勇	qiangyong,qy
强有	qiangyou,qy
强有力	qiangyouli,qyl
强有力地	qiangyoulide,qyld
强予	qiangyu,qy
强圉	qiangyu,qy
强御	qiangyu,qy
强援	qiangyuan,qy
强韵	qiangyun,qy
强遭瘟	qiangzaowen,qzw
强摘的瓜不甜	qiangzhaideguabutian,qzdgbt
强占	qiangzhan,qz
强战	qiangzhan,qz
强折贱买	qiangshejianmai,qsjm
强者	qiangzhe,qz
强贞	qiangzhen,qz
强阵	qiangzhen,qz
强震	qiangzhen,qz
强征	qiangzheng,qz
强正	qiangzheng,qz
强政	qiangzheng,qz
强枝弱本	qiangzhiruoben,qzrb
强执	qiangzhi,qz
强直	qiangzhi,qz
强直性脊柱炎	qiangzhixingjizhuyan,qzxjzy
强直自遂	qiangzhizisui,qzzs
强植	qiangzhi,qz
强志	qiangzhi,qz
强忮	qiangzhi,qz
强制	qiangzhi,qz
强制地	qiangzhide,qzd
强制性	qiangzhixing,qzx
强制性地	qiangzhixingde,qzxd
强致	qiangzhi,qz
强鸷	qiangzhi,qz
强中	qiangzhong,qz
强中更有强中手	qiangzhonggengyoushou,qzgys
强中自有强中手	qiangzhongziyoushou,qzzys
强种	qiangzhong,qz
强壮	qiangzhuang,qz
强壮地	qiangzhuangde,qzd
强壮剂	qiangzhuangji,qzj
强子	qiangzi,qz
强自取折	qiangziqushe,qzqs
强自取柱	qiangziquzhu,qzqz
强恣	qiangzi,qz
强宗	qiangzong,qz
强族	qiangzu,qz
强嘴	jiangzui,jz
强嘴拗舌	jiangzuiniushe,jzns
强嘴硬牙	jiangzuiyingya,jzyy
强最	qiangzui,qz
强醉	qiangzui,qz
强作	qiangzuo,qz
强作解人	qiangzuojieren,qzjr
强作用	qiangzuoyong,qzy
强作用力	qiangzuoyongli,qzyl
