远安	yuanan,ya
远近	yuanjin,yj
远近驰名	yuanjinchiming,yjcm
远近法	yuanjinfa,yjf
远近皆知	yuanjinjiezhi,yjjz
远近闻名	yuanjinwenming,yjwm
远井不解近渴	yuanjingbujiejinke,yjbjjk
远景	yuanjing,yj
远境	yuanjing,yj
远镜	yuanjing,yj
远坰	yuanjiong,yj
远旧	yuanjiu,yj
远救	yuanjiu,yj
远举	yuanju,yj
远距离	yuanjuli,yjl
远距离地	yuanjulide,yjld
远距离监视	yuanjulijianshi,yjljs
远绝	yuanjue,yj
远郡	yuanjun,yj
远开	yuankai,yk
远客	yuanke,yk
远旷	yuankuang,yk
远来的和尚会念经	yuanlaideheshanghuinianjing,yldhshnj
远来和尚好看经	yuanlaiheshanghaokanjing,ylhshkj
远览	yuanlan,yl
远劳	yuanlao,yl
远离	yuanli,yl
远黎	yuanli,yl
远礼	yuanli,yl
远理	yuanli,yl
远利	yuanli,yl
远量	yuanliang,yl
远烈	yuanlie,yl
远临	yuanlin,yl
远流	yuanliu,yl
远陋	yuanlou,yl
远路	yuanlu,yl
远路没轻担	yuanlumeiqingdan,ylmqd
远旅	yuanlu,yl
远虑	yuanlu,yl
远虑深谋	yuanlushenmou,ylsm
远略	yuanlue,yl
远落	yuanluo,yl
远迈	yuanmai,ym
远慢	yuanman,ym
远门	yuanmen,ym
远门近枝	yuanmenjinzhi,ymjz
远梦	yuanmeng,ym
远庙	yuanmiao,ym
远民	yuanmin,ym
远名	yuanming,ym
远命	yuanming,ym
远谟	yuanmo,ym
远模	yuanmo,ym
远眸	yuanmou,ym
远谋	yuanmou,ym
远谋深算	yuanmoushensuan,ymss
远目	yuanmu,ym
远幕	yuanmu,ym
远昵	yuanni,yn
远年	yuanning,yn
远年近日	yuannianjinri,ynjr
远年近岁	yuannianjinsui,ynjs
远念	yuannian,yn
远派	yuanpai,yp
远盼	yuanpan,yp
远庖	yuanpao,yp
远朋	yuanpeng,yp
远僻	yuanpi,yp
远戚	yuanqi,yq
远期	yuanqi,yq
远期合约	yuanqiheyue,yqhy
远器	yuanqi,yq
远迁	yuanqian,yq
远亲	yuanqin,yq
远亲不如近邻	yuanqinburujinlin,yqbrjl
远亲近邻	yuanqinjinlin,yqjl
远情	yuanqing,yq
远求	yuanqiu,yq
远求骐骥	yuanqiuqiji,yqqj
远趣	yuanqu,yq
远权	yuanquan,yq
远人	yuanren,yr
远日	yuanri,yr
远日点	yuanridian,yrd
远戎	yuanrong,yr
远如期	yuanruqi,yrq
远辱	yuanru,yr
远塞	yuansai,ys
远色	yuanse,ys
远山	yuanshan,ys
远山黛	yuanshandai,ysd
远山芙蓉	yuanshanfurong,ysfr
远山眉	yuanshanmei,ysm
远山色	yuanshanse,yss
远烧	yuanshao,ys
远涉	yuanshe,ys
远涉重洋	yuanshechongyang,yscy
远身	yuanshen,ys
远神	yuanshen,ys
远师	yuanshi,ys
远识	yuanshi,ys
远使	yuanshi,ys
远始	yuanshi,ys
远世	yuanshi,ys
远式	yuanshi,ys
远势	yuanshi,ys
远视	yuanshi,ys
远视地	yuanshide,ysd
远视眼	yuanshiyan,ysy
远适	yuanshi,ys
远逝	yuanshi,ys
远守	yuanshou,ys
远寿	yuanshou,ys
远狩	yuanshou,ys
远书	yuanshu,ys
远输	yuanshu,ys
远属	yuanshu,ys
远术	yuanshu,ys
远戍	yuanshu,ys
远数	yuanshu,ys
远水不解近渴	yuanshuibujiejinke,ysbjjk
远水不救近火	yuanshuibujiujinhuo,ysbjjh
远水解不了近渴	yuanshuijiebuliaojinke,ysjbljk
远水救不得近火	yuanshuijiubudejinhuo,ysjbdjh
远水救不了近火	yuanshuijiubuliaojinhuo,ysjbljh
远思	yuansi,ys
远俗	yuansu,ys
远泝博索	yuansubosuo,ysbs
远溯博索	yuansubosuo,ysbs
远算	yuansuan,ys
远岁	yuansui,ys
远孙	yuansun,ys
远所	yuansuo,ys
远台	yuantai,yt
远覃	yuanqin,yq
远藤	yuanteng,yt
远天	yuantian,yt
远天远地	yuantiandi,ytd
远条	yuantiao,yt
远眺	yuantiao,yt
远听	yuanting,yt
远图	yuantu,yt
远途	yuantu,yt
远土	yuantu,yt
远讬	yuantuo,yt
远托	yuantuo,yt
远外	yuanwai,yw
远望	yuanwang,yw
远未解决	yuanweijiejue,ywjj
远味	yuanwei,yw
远闻	yuanwen,yw
远物	yuanwu,yw
远昔	yuanxi,yx
远袭	yuanxi,yx
远徙	yuanxi,yx
远遐	yuanxia,yx
远先	yuanxian,yx
远嫌	yuanxian,yx
远限	yuanxian,yx
远乡	yuanxiang,yx
远乡牌	yuanxiangpai,yxp
远祥	yuanxiang,yx
远翔	yuanxiang,yx
远想	yuanxiang,yx
远销	yuanxiao,yx
远効	yuanxiao,yx
远效	yuanxiao,yx
远邪	yuanxie,yx
远心	yuanxin,yx
远信	yuanxin,yx
远刑	yuanxing,yx
远行	yuanxing,yx
远行无急步	yuanxingwujibu,yxwjb
远形	yuanxing,yx
远兴	yuanxing,yx
远性	yuanxing,yx
远兄弟	yuanxiongdi,yxd
远秀卿	yuanxiuqing,yxq
远岫	yuanxiu,yx
远学	yuanxue,yx
远血	yuanxue,yx
远逊	yuanxun,yx
远烟	yuanyan,yy
远言	yuanyan,yy
远眼	yuanyan,yy
远扬	yuanyang,yy
远飏	yuanyang,yy
远洋	yuanyang,yy
远姚	yuanyao,yy
远遥	yuanyao,yy
远业	yuanye,yy
远夷	yuanyi,yy
远义	yuanyi,yy
远忆	yuanyi,yy
远异	yuanyi,yy
远役	yuanyi,yy
远驿	yuanyi,yy
远意	yuanyi,yy
远裔	yuanyi,yy
远因	yuanyin,yy
远引	yuanyin,yy
远用	yuanyong,yy
远忧	yuanyou,yy
远由	yuanyou,yy
远犹	yuanyou,yy
远游	yuanyou,yy
远游冠	yuanyouguan,yyg
远游履	yuanyoulu,yyl
远猷	yuanyou,yy
远逾	yuanyu,yy
远踰	yuanyu,yy
远域	yuanyu,yy
远御	yuanyu,yy
远誉	yuanyu,yy
远缘	yuan,y
远源	yuan,y
远远	yuan,y
远远超过	yuanchaoguo,ycg
远远地	yuande,yd
远远地看着	yuandekanzhe,ydkz
远远地抛到后边	yuandepaodaohoubian,ydpdhb
远愿	yuan,y
远岳	yuanyue,yy
远韵	yuanyun,yy
远在儿孙近在身	yuanzaiersunjinshen,yzesjs
远在天边	yuanzaitianbian,yztb
远邅	yuanzhan,yz
远帐	yuanzhang,yz
远谪	yuanzhe,yz
远着	yuanzhe,yz
远珍	yuanzhen,yz
远征	yuanzheng,yz
远征军	yuanzhengjun,yzj
远正	yuanzheng,yz
远支	yuanzhi,yz
远跖	yuanzhi,yz
远蹠	yuanzhi,yz
远旨	yuanzhi,yz
远指	yuanzhi,yz
远至	yuanzhi,yz
远至迩安	yuanzhieran,yzea
远志	yuanzhi,yz
远致	yuanzhi,yz
远中	yuanzhong,yz
远钟	yuanzhong,yz
远胄	yuanzhou,yz
远躅	yuanzhu,yz
远瞩	yuanzhu,yz
远瞩高瞻	yuanzhugaozhan,yzgz
远壮	yuanzhuang,yz
远走高飞	yuanzougaofei,yzgf
远足	yuanzu,yz
远族	yuanzu,yz
远祖	yuanzu,yz
远罪	yuanzui,yz
远祚	yuanzuo,yz
