变暗	bianan,ba
变态百出	biantaibeichu,btbc
变态地	biantaide,btd
变态反应	biantaifanying,btfy
变态辣	biantaila,btl
变态人格	biantairenge,btrg
变态心理	biantaixinli,btxl
变态心理学	biantaixinlixue,btxlx
变泰	biantai,bt
变贪厉薄	biantanlibo,btlb
变体	bianti,bt
变体票	biantipiao,btp
变天	biantian,bt
变天账	biantianzhang,btz
变通	biantong,bt
变统	biantong,bt
变头	biantou,bt
变危为安	bianweian,bwa
变为	bianwei,bw
变位	bianwei,bw
变味	bianwei,bw
变味儿	bianweier,bwe
变温层	bianwenceng,bwc
变温动物	bianwendongwu,bwdw
变文	bianwen,bw
变文协韵	bianwenxieyun,bwxy
变侮	bianwu,bw
变物	bianwu,bw
变悟	bianwu,bw
变戏法	bianxifa,bxf
变嫌	bianxian,bx
变现	bianxian,bx
变相	bianxiang,bx
变相地	bianxiangde,bxd
变象	bianxiang,bx
变小	bianxiao,bx
变小雅	bianxiaoya,bxy
变心	bianxin,bx
变心易虑	bianxinyilu,bxyl
变衅	bianxin,bx
变星	bianxing,bx
变刑	bianxing,bx
变形	bianxing,bx
变形虫	bianxingchong,bxc
变形记	bianxingji,bxj
变形金刚	bianxingjingang,bxjg
变型	bianxing,bx
变性	bianxing,bx
变性酒精	bianxingjiujing,bxjj
变性土	bianxingtu,bxt
变修	bianxiu,bx
变炫无穷	bianxuanwuqiong,bxwq
变眩	bianxuan,bx
变压	bianya,by
变压器	bianyaqi,byq
变雅	bianya,by
变颜	bianyan,by
变颜变色	bianyanse,bys
变样	bianyang,by
变样儿	bianyanger,bye
变様	bianyang,by
变业	bianye,by
变移	bianyi,by
变异	bianyi,by
变异型克雅氏症	bianyixingkeyashizheng,byxkysz
变异株	bianyizhu,byz
变易	bianyi,by
变意	bianyi,by
变溢地	bianyide,byd
变音	bianyin,by
变音记号	bianyinjihao,byjh
变应	bianying,by
变硬	bianying,by
变羽	bianyu,by
变狱	bianyu,by
变元	bianyuan,by
变元音	bianyuanyin,byy
变造	bianzao,bz
变造币	bianzaobi,bzb
变则	bianze,bz
变则地	bianzede,bzd
变诈	bianzha,bz
变争	bianzheng,bz
变正	bianzheng,bz
变证	bianzheng,bz
变徵	bianzhi,bz
变徵之声	bianzhisheng,bzs
变质	bianzhi,bz
变质岩	bianzhiyan,bzy
变质作用	bianzhizuoyong,bzzy
变置	bianzhi,bz
变种	bianzhong,bz
变昼草	bianzhoucao,bzc
变主	bianzhu,bz
变转	bianzhuan,bz
变装皇后	bianzhuanghuanghou,bzhh
变子	bianzi,bz
变奏	bianzou,bz
变奏曲	bianzouqu,bzq
变阻器	bianzuqi,bzq
变作	bianzuo,bz
变做	bianzuo,bz
