加百列	jiabailie,jbl
加息	jiaxi,jx
加膝	jiaxi,jx
加膝坠泉	jiaxizhuiquan,jxzq
加膝坠渊	jiaxizhuiyuan,jxzy
加席	jiaxi,jx
加洗	jiaxi,jx
加衔	jiaxian,jx
加薪	jiaxin,jx
加刑	jiaxing,jx
加行	jiaxing,jx
加压	jiaya,jy
加压釜	jiayafu,jyf
加演	jiayan,jy
加央	jiayang,jy
加以	jiayi,jy
加役流	jiayiliu,jyl
加意	jiayi,jy
加油	jiayou,jy
加油工	jiayougong,jyg
加油加醋	jiayoucu,jyc
加油枪	jiayouqiang,jyq
加油添醋	jiayoutiancu,jytc
加油添酱	jiayoutianjiang,jytj
加油站	jiayouzhan,jyz
加载	jiazai,jz
加增	jiazeng,jz
加长	jiachang,jc
加之	jiazhi,jz
加枝添叶	jiazhitianye,jzty
加值	jiazhi,jz
加值型网路	jiazhixingwanglu,jzxwl
加重	jiazhong,jz
加重语气	jiazhongyuqi,jzyq
加州	jiazhou,jz
加州大学	jiazhoudaxue,jzdx
加州技术学院	jiazhoujishuxueyuan,jzjsxy
加州理工学院	jiazhouligongxueyuan,jzlgxy
加诸	jiazhu,jz
加注	jiazhu,jz
加兹尼	jiazini,jzn
加兹尼省	jiazinisheng,jzns
加总	jiazong,jz
加足马力	jiazumali,jzml
