特奥会	teaohui,tah
特罗多斯	teluoduosi,tlds
特洛伊	teluoyi,tly
特洛伊木马	teluoyimuma,tlymm
特卖	temai,tm
特卖会	temaihui,tmh
特么	teme,tm
特免	temian,tm
特庙	temiao,tm
特敏福	teminfu,tmf
特命	teming,tm
特乃子	tenaizi,tnz
特内里费	teneilifei,tnlf
特牛	teniu,tn
特派	tepai,tp
特派员	tepaiyuan,tpy
特批	tepi,tp
特聘	tepin,tp
特奇	teqi,tq
特起	teqi,tq
特迁	teqian,tq
特遣	teqian,tq
特遣部队	teqianbudui,tqbd
特勤	teqin,tq
特磬	teqing,tq
特区	tequ,tq
特权	tequan,tq
特群	tequn,tq
特然	teran,tr
特任	teren,tr
特色	tese,ts
特色地	tesede,tsd
特杀	tesha,ts
特煞	tesha,ts
特设	teshe,ts
特赦	teshe,ts
特赦令	tesheling,tsl
特甚	teshen,ts
特生	tesheng,ts
特牲	tesheng,ts
特胜	tesheng,ts
特识	teshi,ts
特使	teshi,ts
特士	teshi,ts
特首	teshou,ts
特授	teshou,ts
特书	teshu,ts
特枢	teshu,ts
特殊	teshu,ts
特殊地	teshude,tsd
特殊儿童	teshuertong,tset
特殊关系	teshuguanxi,tsgx
特殊函数	teshuhan,tsh
特殊护理	teshuhuli,tshl
特殊化	teshuhua,tsh
特殊环境	teshuhuanjing,tshj
特殊教育	teshujiaoyu,tsjy
特殊气候地	teshuqihoude,tsqhd
特殊性	teshuxing,tsx
特斯拉	tesila,tsl
特祀	tesi,ts
特耸	tesong,ts
特特	te,t
特特为为	tewei,tw
特提斯海	tetisihai,ttsh
特体	teti,tt
特瓦族	tewazu,twz
特卫强	teweiqiang,twq
特为	tewei,tw
特兀	tewu,tw
特务	tewu,tw
特嫌	texian,tx
特县	texian,tx
特效	texiao,tx
特效药	texiaoyao,txy
特写	texie,tx
特写镜头	texiejingtou,txjt
特行	texing,tx
特型演员	texingyanyuan,txyy
特性	texing,tx
特性地	texingde,txd
特秀	texiu,tx
特需	texu,tx
特许	texu,tx
特许半导体	texubandaoti,txbdt
特许经营	texujingying,txjy
特许权	texuquan,txq
特许状	texuzhuang,txz
特选	texuan,tx
特讯	texun,tx
特邀	teyao,ty
特揖	teyi,ty
特艺彩色	teyicaise,tycs
特异	teyi,ty
特异功能	teyigongneng,tygn
特异性	teyixing,tyx
特异选择	teyixuanze,tyxz
特异质	teyizhi,tyz
特易购	teyigou,tyg
特意	teyi,ty
特意地	teyide,tyd
特意地看	teyidekan,tydk
特银	teyin,ty
特膺	teying,ty
特优	teyou,ty
特有	teyou,ty
特有属性	teyoushuxing,tysx
特宥	teyou,ty
特约	teyue,ty
特约记者	teyuejizhe,tyjz
特赞	tezan,tz
特长	techang,tc
特长生	techangsheng,tcs
特诏	tezhao,tz
特侦组	tezhenzu,tzz
特征	tezheng,tz
特征地	tezhengde,tzd
特征联合	tezhenglianhe,tzlh
特征向量	tezhengxiangliang,tzxl
特征值	tezhengzhi,tzz
特支	tezhi,tz
特知	tezhi,tz
特旨	tezhi,tz
特指	tezhi,tz
特指问句	tezhiwenju,tzwj
特徵	tezhi,tz
特至	tezhi,tz
特制	tezhi,tz
特质	tezhi,tz
特种	tezhong,tz
特种兵	tezhongbing,tzb
特种部队	tezhongbudui,tzbd
特种工艺	tezhonggongyi,tzgy
特种警察	tezhongjingcha,tzjc
特种空勤团	tezhongkongqintuan,tzkqt
特种邮票	tezhongyoupiao,tzyp
特转	tezhuan,tz
特准	tezhun,tz
特卓	tezhuo,tz
特奏	tezou,tz
特奏名	tezouming,tzm
