飞安	feian,fa
飞抢	feiqiang,fq
飞桥	feiqiao,fq
飞禽	feiqin,fq
飞禽走兽	feiqinzoushou,fqzs
飞琼	feiqiong,fq
飞蛩	feiqiong,fq
飞毬	feiqiu,fq
飞泉	feiquan,fq
飞缺	feique,fq
飞鹊镜	feiquejing,fqj
飞帬	feiqun,fq
飞裙	feiqun,fq
飞穣	feirang,fr
飞穰	feirang,fr
飞人	feiren,fr
飞刃	feiren,fr
飞驲	feiri,fr
飞荣	feirong,fr
飞容	feirong,fr
飞肉	feirou,fr
飞洒	feisa,fs
飞伞	feisan,fs
飞散	feisan,fs
飞沙扬砾	feishayangli,fsyl
飞沙走砾	feishazouli,fszl
飞沙走石	feishazoushi,fszs
飞砂扬砾	feishayangli,fsyl
飞砂转石	feishazhuanshi,fszs
飞砂走石	feishazoushi,fszs
飞山兵	feishanbing,fsb
飞煽	feishan,fs
飞觞	feishang,fs
飞觞走斝	feishangzoujia,fszj
飞髾	feishao,fs
飞蛇	feishe,fs
飞射	feishe,fs
飞申	feishen,fs
飞身	feishen,fs
飞身翻腾	feishenfanteng,fsft
飞神	feishen,fs
飞沈	feishen,fs
飞升	feisheng,fs
飞升腾实	feishengtengshi,fsts
飞生	feisheng,fs
飞声	feisheng,fs
飞声腾实	feishengtengshi,fsts
飞尸	feishi,fs
飞石	feishi,fs
飞矢	feishi,fs
飞驶	feishi,fs
飞逝	feishi,fs
飞书	feishu,fs
飞书走檄	feishuzouxi,fszx
飞熟	feishu,fs
飞鼠	feishu,fs
飞漱	feishu,fs
飞霜	feishuang,fs
飞霜六月	feishuangliuyue,fsly
飞松	feisong,fs
飞速	feisu,fs
飞速地	feisude,fsd
飞粟	feisu,fs
飞隼	feisun,fs
飞梭	feisuo,fs
飞索	feisuo,fs
飞闼	feita,ft
飞腾	feiteng,ft
飞梯	feiti,ft
飞天	feitian,ft
飞天祸	feitianhuo,fth
飞天紒	feitianji,ftj
飞天奖	feitianjiang,ftj
飞天十响	feitianshixiang,ftsx
飞天使者	feitianshizhe,ftsz
飞天夜叉	feitianyecha,ftyc
飞条	feitiao,ft
飞跳	feitiao,ft
飞听	feiting,ft
飞艇	feiting,ft
飞头	feitou,ft
飞土逐害	feituzhuhai,ftzh
飞土逐肉	feituzhurou,ftzr
飞兔	feitu,ft
飞菟	feitu,ft
飞湍	feituan,ft
飞腿	feitui,ft
飞驼	feituo,ft
飞堶	feituo,ft
飞駞	feituo,ft
飞丸	feiwan,fw
飞挽	feiwan,fw
飞卫	feiwei,fw
飞文	feiwen,fw
飞文染翰	feiwenranhan,fwrh
飞蚊症	feiwenzheng,fwz
飞吻	feiwen,fw
飞挝	feiwo,fw
飞屋	feiwu,fw
飞诬	feiwu,fw
飞鼯	feiwu,fw
飞五	feiwu,fw
飞舞	feiwu,fw
飞锡	feixi,fx
飞檄	feixi,fx
飞舃	feituo,ft
飞霞骠	feixiabiao,fxb
飞仙	feixian,fx
飞仙盖	feixiangai,fxg
飞鶱	feixian,fx
飞唌	feiyan,fy
飞涎	feixian,fx
飞翔	feixiang,fx
飞响	feixiang,fx
飞饷	feixiang,fx
飞绡	feixiao,fx
飞灺	feixie,fx
飞泻	feixie,fx
飞炧	feixie,fx
飞屧	feixie,fx
飞星	feixing,fx
飞行	feixing,fx
飞行殿	feixingdian,fxd
飞行管制	feixingguanzhi,fxgz
飞行机	feixingji,fxj
飞行集会	feixingjihui,fxjh
飞行记录	feixingjilu,fxjl
飞行记录器	feixingjiluqi,fxjlq
飞行记录仪	feixingjiluyi,fxjly
飞行甲板	feixingjiaban,fxjb
飞行器	feixingqi,fxq
飞行员	feixingyuan,fxy
飞行云	feixingyun,fxy
飞熊	feixiong,fx
飞熊入梦	feixiongrumeng,fxrm
飞絮	feixu,fx
飞轩	feixuan,fx
飞旋	feixuan,fx
飞雪	feixue,fx
飞烟	feiyan,fy
飞言	feiyan,fy
飞沿走壁	feiyanzoubi,fyzb
飞盐	feiyan,fy
飞檐	feiyan,fy
飞檐走壁	feiyanzoubi,fyzb
飞檐走脊	feiyanzouji,fyzj
飞櫩	feiyan,fy
飞眼	feiyan,fy
飞眼传情	feiyanchuanqing,fycq
飞燕	feiyan,fy
飞爓	feiyan,fy
飞殃走祸	feiyangzouhuo,fyzh
飞扬	feiyang,fy
飞扬跋扈	feiyangbahu,fybh
飞扬浮躁	feiyangfuzao,fyfz
飞飏	feiyang,fy
飞徭	feiyao,fy
飞謡	feiyao,fy
飞鳐	feiyao,fy
飞也似地	feiyeshide,fysd
飞也似的	feiyeshide,fysd
飞叶子	feiyezi,fyz
飞乙	feiyi,fy
飞蚁	feiyi,fy
飞驿	feiyi,fy
飞溢	feiyi,fy
飞翼	feiyi,fy
飞音	feiyin,fy
飞吟亭	feiyinting,fyt
飞英	feiying,fy
飞缨	feiying,fy
飞霙	feiying,fy
飞鹰	feiying,fy
飞鹰奔犬	feiyingbenquan,fybq
飞鹰走狗	feiyingzougou,fyzg
飞鹰走马	feiyingzouma,fyzm
飞鹰走犬	feiyingzouquan,fyzq
飞影	feiying,fy
飞泳	feiyong,fy
飞鱼	feiyu,fy
飞鱼袋	feiyudai,fyd
飞鱼服	feiyufu,fyf
飞鱼钩	feiyugou,fyg
飞鱼族	feiyuzu,fyz
飞鱼座	feiyuzuo,fyz
飞宇	feiyu,fy
飞羽	feiyu,fy
飞雨	feiyu,fy
飞语	feiyu,fy
飞誉	feiyu,fy
飞鸢	feiyuan,fy
飞跃	feiyue,fy
飞跃道	feiyuedao,fyd
飞越	feiyue,fy
飞云掣电	feiyunchedian,fycd
飞云丹	feiyundan,fyd
飞云殿	feiyundian,fyd
飞云履	feiyunlu,fyl
飞灾	feizai,fz
飞灾横祸	feizaihenghuo,fzhh
飞贼	feizei,fz
飞谮	feizen,fz
飞矰	feizeng,fz
飞札	feizha,fz
飞盏	feizhan,fz
飞栈	feizhan,fz
飞章	feizhang,fz
飞涨	feizhang,fz
飞诏	feizhao,fz
飞旐	feizhao,fz
飞棹	feizhao,fz
飞针走线	feizhenzouxian,fzzx
飞征	feizheng,fz
飞掷	feizhi,fz
飞舟	feizhou,fz
飞朱	feizhu,fz
飞珠溅玉	feizhujianyu,fzjy
飞柱	feizhu,fz
飞翥	feizhu,fz
飞转	feizhuan,fz
飞咨	feizi,fz
飞子	feizi,fz
飞走	feizou,fz
飞奏	feizou,fz
飞足	feizu,fz
