朝霭	chaoai,ca
朝寒	chaohan,ch
朝韩	chaohan,ch
朝汉台	chaohantai,cht
朝沆	chaohang,ch
朝核问题	chaohewenti,chwt
朝贺	chaohe,ch
朝衡	chaoheng,ch
朝红色地	chaohongsede,chsd
朝后	chaohou,ch
朝后地	chaohoude,chd
朝笏	chaohu,ch
朝花	chaohua,ch
朝花夕拾	zhaohuaxishi,zhxs
朝华	chaohua,ch
朝华夕秀	zhaohuaxixiu,zhxx
朝化	chaohua,ch
朝欢暮乐	zhaohuanmule,zhml
朝晖	zhaohui,zh
朝晖夕阴	zhaohuixiyin,zhxy
朝会	zhaohui,zh
朝昏	chaohun,ch
朝婚	chaohun,ch
朝饥	chaoji,cj
朝机	chaoji,cj
朝鸡	chaoji,cj
朝齑暮盐	zhaojimuyan,zjmy
朝齑夕盐	zhaojixiyan,zjxy
朝隮	chaoji,cj
朝虀暮盐	chaojimuyan,cjmy
朝集	chaoji,cj
朝集使	chaojishi,cjs
朝籍	chaoji,cj
朝迹	chaoji,cj
朝寄	chaoji,cj
朝家	chaojia,cj
朝假	chaojia,cj
朝驾	chaojia,cj
朝见	chaojian,cj
朝践	chaojian,cj
朝讲	chaojiang,cj
朝阶	chaojie,cj
朝巾	chaojin,cj
朝槿	chaojin,cj
朝觐	chaojin,cj
朝觐圣地	chaojinshengdi,cjsd
朝京	chaojing,cj
朝经	zhaojing,zj
朝经暮史	zhaojingmushi,zjms
朝敬	chaojing,cj
朝裾	chaoju,cj
朝眷	chaojuan,cj
朝菌	zhaojun,zj
朝开暮落花	chaokaimuluohua,ckmlh
朝考	chaokao,ck
朝珂	chaoke,ck
朝客	chaoke,ck
朝来	zhaolai,zl
朝岚	chaolan,cl
朝郎	chaolang,cl
朝劳动党	chaolaodongdang,cldd
朝离	chaoli,cl
朝礼	chaoli,cl
朝里无人莫做官	chaoliwurenmozuoguan,clwrmzg
朝理	chaoli,cl
朝梁暮陈	zhaoliangmuchen,zlmc
朝梁暮晋	zhaoliangmujin,zlmj
朝梁暮周	zhaoliangmuzhou,zlmz
朝僚	chaoliao,cl
朝寮	chaoliao,cl
朝列	chaolie,cl
朝陵	chaoling,cl
朝令暮改	zhaolingmugai,zlmg
朝令夕改	zhaolingxigai,zlxg
朝路	chaolu,cl
朝露	zhaolu,zl
朝露溘至	zhaolukezhi,zlkz
朝露暮霭	zhaolumuai,zlma
朝伦	chaolun,cl
朝论	chaolun,cl
朝马	chaoma,cm
朝帽	chaomao,cm
朝门	chaomen,cm
朝庙	chaomiao,cm
朝命	chaoming,cm
朝谟	chaomo,cm
朝末	chaomo,cm
朝莫	chaomo,cm
朝暮	zhaomu,zm
朝宁	chaoning,cn
朝攀暮折	zhaopanmushe,zpms
朝聘	chaopin,cp
朝起	chaoqi,cq
朝气	zhaoqi,zq
朝气蓬勃	zhaoqipengbo,zqpb
朝佥	chaoqian,cq
朝前	chaoqian,cq
朝前地	chaoqiande,cqd
朝前夕惕	zhaoqianxiti,zqxt
朝乾夕愓	zhaoqianxidang,zqxd
朝乾夕惕	zhaoqianxiti,zqxt
朝谴	chaoqian,cq
朝秦暮楚	zhaoqinmuchu,zqmc
朝请	chaoqing,cq
朝庆	chaoqing,cq
朝权	chaoquan,cq
朝阙	chaoque,cq
朝日	zhaori,zr
朝日放送	zhaorifangsong,zrfs
朝日关系	chaoriguanxi,crgx
朝日莲	chaorilian,crl
朝日坛	chaoritan,crt
朝日新闻	zhaorixinwen,zrxw
朝荣	chaorong,cr
朝荣夕灭	zhaorongximie,zrxm
朝容	chaorong,cr
朝儒	chaoru,cr
朝三暮二	zhaosanmuer,zsme
朝三暮四	zhaosanmusi,zsms
朝散	chaosan,cs
朝山	chaoshan,cs
朝山进香	chaoshanjinxiang,csjx
朝衫	chaoshan,cs
朝膳	chaoshan,cs
朝上	chaoshang,cs
朝上地	chaoshangde,csd
朝社	chaoshe,cs
朝涉	chaoshe,cs
朝绅	chaoshen,cs
朝审	chaoshen,cs
朝升暮合	zhaoshengmuge,zsmg
朝生	chaosheng,cs
朝生暮落花	chaoshengmuluohua,csmlh
朝生暮死	zhaoshengmusi,zsms
朝生夕死	zhaoshengxisi,zsxs
朝省	chaosheng,cs
朝圣	chaosheng,cs
朝圣者	chaoshengzhe,csz
朝识	chaoshi,cs
朝食	zhaoshi,zs
朝使	chaoshi,cs
朝士	chaoshi,cs
朝市	chaoshi,cs
朝市人	chaoshiren,csr
朝式	chaoshi,cs
朝事	chaoshi,cs
朝侍	chaoshi,cs
朝署	chaoshu,cs
朝霜	chaoshuang,cs
朝爽	chaoshuang,cs
朝蕣	chaoshun,cs
朝朔	chaoshuo,cs
朝司	chaosi,cs
朝思暮想	zhaosimuxiang,zsmx
朝斯夕斯	zhaosixi,zsx
朝寺	chaosi,cs
朝肆	chaosi,cs
朝宿	chaosu,cs
朝筭	chaosuan,cs
朝飧	chaosun,cs
朝闼	chaota,ct
朝台	chaotai,ct
朝堂	chaotang,ct
朝天	chaotian,ct
朝天捣乱	chaotiandaoluan,ctdl
朝天馄饨	chaotianhuntun,ctht
朝天髻	chaotianji,ctj
朝天椒	chaotianjiao,ctj
朝天区	chaotianqu,ctq
朝天一柱香	chaotianyizhuxiang,ctyzx
朝天一炷香	chaotianyizhuxiang,ctyzx
朝听	chaoting,ct
朝廷	chaoting,ct
朝庭	chaoting,ct
朝暾	zhaotun,zt
朝晚	chaowan,cw
朝晩	chaowan,cw
朝望	chaowang,cw
朝纬	chaowei,cw
朝位	chaowei,cw
朝闻道	zhaowendao,zwd
朝闻道夕死可矣	zhaowendaoxisikeyi,zwdxsky
朝闻夕改	zhaowenxigai,zwxg
朝闻夕死	zhaowenxisi,zwxs
朝乌	chaowu,cw
朝务	chaowu,cw
朝物	chaowu,cw
朝夕	zhaoxi,zx
朝夕池	zhaoxichi,zxc
朝夕鸟	zhaoxiniao,zxn
朝夕乌	zhaoxiwu,zxw
朝夕相处	zhaoxixiangchu,zxxc
朝昔	chaoxi,cx
朝欷暮唶	chaoximujie,cxmj
朝曦	zhaoxi,zx
朝霞	zhaoxia,zx
朝鲜	chaoxian,cx
朝鲜八道	chaoxianbadao,cxbd
朝鲜半岛	chaoxianbandao,cxbd
朝鲜参	chaoxiancan,cxc
朝鲜海峡	chaoxianhaixia,cxhx
朝鲜核谈	chaoxianhetan,cxht
朝鲜劳动党	chaoxianlaodongdang,cxldd
朝鲜民主主义人民共和国	chaoxianminzhuyirengongheguo,cxmzyrghg
朝鲜人	chaoxianren,cxr
朝鲜日报	chaoxianribao,cxrb
朝鲜太宗	chaoxiantaizong,cxtz
朝鲜文	chaoxianwen,cxw
朝鲜语	chaoxianyu,cxy
朝鲜战争	chaoxianzhanzheng,cxzz
朝鲜筝	chaoxianzheng,cxz
朝鲜中央通讯社	chaoxianzhongyangtongxunshe,cxzytxs
朝鲜字母	chaoxianzimu,cxzm
朝鲜总督府	chaoxianzongdufu,cxzdf
朝鲜族	chaoxianzu,cxz
朝贤	chaoxian,cx
朝幰	chaoxian,cx
朝宪	chaoxian,cx
朝献	chaoxian,cx
朝祥	chaoxiang,cx
朝享	chaoxiang,cx
朝饷	chaoxiang,cx
朝飨	chaoxiang,cx
朝向	chaoxiang,cx
朝行	chaoxing,cx
朝秀	chaoxiu,cx
朝旭	chaoxu,cx
朝序	chaoxu,cx
朝玄	chaoxuan,cx
朝靴	chaoxue,cx
朝鞾	chaoxue,cx
朝衙	chaoya,cy
朝颜	chaoyan,cy
朝彦	chaoyan,cy
朝宴	chaoyan,cy
朝燕	chaoyan,cy
朝阳	zhaoyang,zy;chaoyang,cy
朝阳产业	zhaoyangchanye,zycy
朝阳丹凤	chaoyangdanfeng,cydf
朝阳地	zhaoyangde,zyd
朝阳地区	zhaoyangdiqu,zydq
朝阳凤	zhaoyangfeng,zyf
朝阳花	chaoyanghua,cyh
朝阳门	chaoyangmen,cym
朝阳鸣凤	zhaoyangmingfeng,zymf
朝阳区	chaoyangqu,cyq
朝阳市	chaoyangshi,cys
朝阳县	chaoyangxian,cyx
朝要	chaoyao,cy
朝冶	chaoye,cy
朝野	chaoye,cy
朝野上下	chaoyeshangxia,cysx
朝谒	chaoye,cy
朝衣	chaoyi,cy
朝衣东市	zhaoyidongshi,zyds
朝仪	chaoyi,cy
朝夷暮跖	zhaoyimuzhi,zymz
朝议	chaoyi,cy
朝邑	chaoyi,cy
朝音	chaoyin,cy
朝隐	chaoyin,cy
朝英	chaoying,cy
朝缨	chaoying,cy
朝饔	chaoyong,cy
朝饔夕飧	zhaoyongxisun,zyxs
朝永振一郎	chaoyongzhenyilang,cyzyl
朝蜏	chaoyou,cy
朝右	chaoyou,cy
朝雨	zhaoyu,zy
朝元	chaoyuan,cy
朝元阁	chaoyuange,cyg
朝苑	chaoyuan,cy
朝云	zhaoyun,zy
朝云暮雨	zhaoyunmuyu,zymy
朝宰	chaozai,cz
朝簪	chaozan,cz
朝则	chaoze,cz
朝战	chaozhan,cz
朝章	chaozhang,cz
朝章国典	chaozhangguodian,czgd
朝章国故	chaozhangguogu,czgg
朝长	chaochang,cc
朝折暮折	zhaoshemu,zsm
朝着	chaozhe,cz
朝着云地	chaozheyunde,czyd
朝真	chaozhen,cz
朝正	chaozheng,cz
朝政	chaozheng,cz
朝直	chaozhi,cz
朝旨	chaozhi,cz
朝制	chaozhi,cz
朝中	chaozhong,cz
朝中措	chaozhongcuo,czc
朝中社	chaozhongshe,czs
朝钟暮鼓	zhaozhongmugu,zzmg
朝钟暮皷	chaozhongmugu,czmg
朝锺暮鼓	zhaozhongmugu,zzmg
朝锺暮皷	chaozhongmugu,czmg
朝种暮获	zhaozhongmuhuo,zzmh
朝众	chaozhong,cz
朝轴	chaozhou,cz
朝昼	chaozhou,cz
朝珠	chaozhu,cz
朝烛	chaozhu,cz
朝馔	chaozhuan,cz
朝宗	chaozong,cz
朝奏	chaozou,cz
朝奏暮召	zhaozoumu,zzm
朝奏夕召	zhaozouxi,zzx
朝族	chaozu,cz
朝坐	chaozuo,cz
朝座	chaozuo,cz
