原案	yuanan,ya
原生	yuansheng,ys
原生动物	yuanshengdongwu,ysdw
原生橄榄油	yuanshengganlanyou,ysgly
原生环境	yuanshenghuanjing,yshj
原生货	yuanshenghuo,ysh
原生生物	yuanshengwu,ysw
原生质	yuanshengzhi,ysz
原生质体	yuanshengzhiti,yszt
原声	yuansheng,ys
原声带	yuanshengdai,ysd
原省	yuansheng,ys
原始	yuanshi,ys
原始地	yuanshide,ysd
原始反终	yuanshifanzhong,ysfz
原始公社	yuanshigongshe,ysgs
原始积累	yuanshijilei,ysjl
原始见终	yuanshijianzhong,ysjz
原始林	yuanshilin,ysl
原始码	yuanshima,ysm
原始热带雨林	yuanshiredaiyulin,ysrdyl
原始社会	yuanshishehui,yssh
原始要终	yuanshiyaozhong,ysyz
原始宗教	yuanshizongjiao,yszj
原首人	yuanshouren,ysr
原兽	yuanshou,ys
原恕	yuanshu,ys
原水	yuanshui,ys
原说	yuanshuo,ys
原苏联	yuansulian,ysl
原诉	yuansu,ys
原素	yuansu,ys
原速地	yuansude,ysd
原汤	yuantang,yt
原汤货	yuantanghuo,yth
原田	yuantian,yt
原头	yuantou,yt
原图	yuantu,yt
原委	yuanwei,yw
原位	yuanwei,yw
原味	yuanwei,yw
原文	yuanwen,yw
原文地	yuanwende,ywd
原物	yuanwu,yw
原物料	yuanwuliao,ywl
原隰	yuanxi,yx
原洗	yuanxi,yx
原先	yuanxian,yx
原纤维	yuanxianwei,yxw
原线圈	yuanxianquan,yxq
原宪病	yuanxianbing,yxb
原宪贫	yuanxianpin,yxp
原详	yuanxiang,yx
原心	yuanxin,yx
原心定罪	yuanxindingzui,yxdz
原薪	yuanxin,yx
原刑	yuanxing,yx
原形	yuanxing,yx
原形败露	yuanxingbailu,yxbl
原形毕露	yuanxingbilu,yxbl
原型	yuanxing,yx
原雪	yuanxue,yx
原盐	yuanyan,yy
原羊	yuanyang,yy
原阳	yuanyang,yy
原阳县	yuanyangxian,yyx
原样	yuanyang,yy
原繇	yuanyao,yy
原野	yuanye,yy
原壄	yuanye,yy
原义	yuanyi,yy
原意	yuanyi,yy
原因	yuanyin,yy
原因与结果	yuanyinyujieguo,yyyjg
原由	yuanyou,yy
原油	yuanyou,yy
原有	yuanyou,yy
原宥	yuanyou,yy
原语	yuanyu,yy
原原本本	yuanben,yb
原原委委	yuanwei,yw
原畇	yuanyun,yy
原韵	yuanyun,yy
原早	yuanzao,yz
原则	yuanze,yz
原则上	yuanzeshang,yzs
原则性	yuanzexing,yzx
原着	yuanzhe,yz
原汁	yuanzhi,yz
原汁原味	yuanzhiwei,yzw
原值	yuanzhi,yz
原职	yuanzhi,yz
原址	yuanzhi,yz
原质	yuanzhi,yz
原种	yuanzhong,yz
原仲	yuanzhong,yz
原州	yuanzhou,yz
原州区	yuanzhouqu,yzq
原主	yuanzhu,yz
原住民	yuanzhumin,yzm
原住民族	yuanzhuminzu,yzmz
原注	yuanzhu,yz
原著	yuanzhu,yz
原装	yuanzhuang,yz
原状	yuanzhuang,yz
原子	yuanzi,yz
原子半径	yuanzibanjing,yzbj
原子爆弹	yuanzibaodan,yzbd
原子爆破弹药	yuanzibaopodanyao,yzbpdy
原子笔	yuanzibi,yzb
原子弹	yuanzidan,yzd
原子堆	yuanzidui,yzd
原子反应堆	yuanzifanyingdui,yzfyd
原子核	yuanzihe,yzh
原子科学家	yuanzikexuejia,yzkxj
原子科学家通报	yuanzikexuejiatongbao,yzkxjtb
原子量	yuanziliang,yzl
原子论	yuanzilun,yzl
原子能	yuanzineng,yzn
原子能发电站	yuanzinengfadianzhan,yznfdz
原子炮	yuanzipao,yzp
原子时	yuanzishi,yzs
原子说	yuanzishuo,yzs
原子团	yuanzituan,yzt
原子武器	yuanziwuqi,yzwq
原子序数	yuanzixushu,yzxs
原子质量	yuanzizhiliang,yzzl
原子钟	yuanzizhong,yzz
原自	yuanzi,yz
原祖	yuanzu,yz
原罪	yuanzui,yz
原作	yuanzuo,yz
原作版	yuanzuoban,yzb
