武安	wuan,wa
武汉钢铁公司	wuhangangtiegongsi,whgtgs
武汉市	wuhanshi,whs
武悍	wuhan,wh
武侯	wuhou,wh
武侯祠	wuhouci,whc
武侯区	wuhouqu,whq
武侯吟	wuhouyin,why
武化	wuhua,wh
武皇	wuhuang,wh
武会	wuhui,wh
武会试	wuhuishi,whs
武火	wuhuo,wh
武妓	wuji,wj
武技	wuji,wj
武家样	wujiayang,wjy
武家様	wujiayang,wjy
武家子	wujiazi,wjz
武监	wujian,wj
武健	wujian,wj
武江	wujiang,wj
武江区	wujiangqu,wjq
武将	wujiang,wj
武教	wujiao,wj
武阶	wujie,wj
武节	wujie,wj
武界	wujie,wj
武诫	wujie,wj
武巾	wujin,wj
武进	wujin,wj
武进区	wujinqu,wjq
武进士	wujinshi,wjs
武经	wujing,wj
武经七书	wujingqishu,wjqs
武经总要	wujingzongyao,wjzy
武警	wujing,wj
武警部队	wujingbudui,wjbd
武警战士	wujingzhanshi,wjzs
武净	wujing,wj
武举	wuju,wj
武举人	wujuren,wjr
武具	wuju,wj
武剧	wuju,wj
武爵武任	wujueren,wjr
武军	wujun,wj
武康镇	wukangzhen,wkz
武考	wukao,wk
武科	wuke,wk
武克	wuke,wk
武库	wuku,wk
武牢	wulao,wl
武乐	wule,wl
武力	wuli,wl
武厉	wuli,wl
武吏	wuli,wl
武梁祠画像	wuliangcihuaxiang,wlchx
武两榜	wuliangbang,wlb
武烈	wulie,wl
武林	wulin,wl
武林旧事记	wulinjiushiji,wljsj
武陵	wuling,wl
武陵川	wulingchuan,wlc
武陵客	wulingke,wlk
武陵蛮	wulingman,wlm
武陵区	wulingqu,wlq
武陵滩	wulingtan,wlt
武陵溪	wulingxi,wlx
武陵源	wulingyuan,wly
武隆	wulong,wl
武隆县	wulongxian,wlx
武録	wulu,wl
武露	wulu,wl
武旅	wulu,wl
武略	wulue,wl
武罗	wuluo,wl
武落	wuluo,wl
武满	wuman,wm
武媚	wumei,wm
武猛	wumeng,wm
武庙	wumiao,wm
武敏	wumin,wm
武鸣	wuming,wm
武鸣县	wumingxian,wmx
武宁	wuning,wn
武宁县	wuningxian,wnx
武怒	wunu,wn
武貔	wupi,wp
武平	wuping,wp
武平县	wupingxian,wpx
武魄	wupo,wp
武骑	wuqi,wq
武气	wuqi,wq
武器	wuqi,wq
武器级	wuqiji,wqj
武器级别材料	wuqijibiecailiao,wqjbcl
武器禁运	wuqijinyun,wqjy
武器可用物质	wuqikeyongzhi,wqkyz
武器系统	wuqixitong,wqxt
武强	wuqiang,wq
武强县	wuqiangxian,wqx
武清	wuqing,wq
武清区	wuqingqu,wqq
武曲	wuqu,wq
武曲星	wuquxing,wqx
武人	wuren,wr
武锐	wurui,wr
武色	wuse,ws
武山	wushan,ws
武山鸡	wushanji,wsj
武山县	wushanxian,wsx
武伤	wushang,ws
武射	wushe,ws
武神	wushen,ws
武生	wusheng,ws
武生员	wushengyuan,wsy
武声	wusheng,ws
武圣	wusheng,ws
武胜	wusheng,ws
武胜县	wushengxian,wsx
武师	wushi,ws
武士	wushi,ws
武士刀	wushidao,wsd
武士道	wushidao,wsd
武士彟	wushihuo,wsh
武事	wushi,ws
武试	wushi,ws
武守	wushou,ws
武术	wushu,ws
武水	wushui,ws
武松	wusong,ws
武宿夜	wusuye,wsy
武算	wusuan,ws
武台	wutai,wt
武坛	wutan,wt
武田	wutian,wt
武童	wutong,wt
武童生	wutongsheng,wts
武统	wutong,wt
武头楯	wutoudun,wtd
武王伐纣	wuwangfazhou,wwfz
武威	wuwei,ww
武威地区	wuweidiqu,wwdq
武威市	wuweishi,wws
武闱	wuwei,ww
武帷	wuwei,ww
武尾	wuwei,ww
武卫	wuwei,ww
武蜼	wuwei,ww
武舞	wu,w
武溪	wuxi,wx
武溪笛	wuxidi,wxd
武溪深	wuxishen,wxs
武戏	wuxi,wx
武侠	wuxia,wx
武侠小说	wuxiaxiaoshuo,wxxs
武仙座	wuxianzuo,wxz
武乡	wuxiang,wx
武乡试	wuxiangshi,wxs
武乡县	wuxiangxian,wxx
武象	wuxiang,wx
武校	wuxiao,wx
武刑	wuxing,wx
武行	wuhang,wh
武秀	wuxiu,wx
武秀才	wuxiucai,wxc
武宣	wuxuan,wx
武宣县	wuxuanxian,wxx
武穴	wuxue,wx
武穴市	wuxueshi,wxs
武学	wuxue,wx
武巡捕	wuxunbu,wxb
武训	wuxun,wx
武偃	wuyan,wy
武偃文修	wuyanwenxiu,wywx
武扬威地	wuyangweide,wywd
武阳	wuyang,wy
武业	wuye,wy
武夷君	wuyijun,wyj
武夷山	wuyishan,wys
武夷山市	wuyishanshi,wyss
武移	wuyi,wy
武义	wuyi,wy
武义县	wuyixian,wyx
武艺	wuyi,wy
武艺超群	wuyichaoqun,wycq
武艺高强	wuyigaoqiang,wygq
武议	wuyi,wy
武邑	wuyi,wy
武邑县	wuyixian,wyx
武谊	wuyi,wy
武毅	wuyi,wy
武翼	wuyi,wy
武荫	wuyin,wy
武廕	wuyin,wy
武英殿	wuyingdian,wyd
武英殿聚珍版书	wuyingdianjuzhenbanshu,wydjzbs
武勇	wuyong,wy
武用	wuyong,wy
武猷	wuyou,wy
武元	wuyuan,wy
武员	wuyuan,wy
武运	wuyun,wy
武则天	wuzetian,wzt
武帐	wuzhang,wz
武昭	wuzhao,wz
武震	wuzhen,wz
武政	wuzheng,wz
武直	wuzhi,wz
武职	wuzhi,wz
武志	wuzhi,wz
武陟	wuzhi,wz
武陟县	wuzhixian,wzx
武装	wuzhuang,wz
武装部队	wuzhuangbudui,wzbd
武装冲突	wuzhuangchongtu,wzct
武装带	wuzhuangdai,wzd
武装分子	wuzhuangfenzi,wzfz
武装工作队	wuzhuanggongzuodui,wzgzd
武装力量	wuzhuangliliang,wzll
武状元	wuzhuangyuan,wzy
武卒	wuzu,wz
