管扳手	guanbanshou,gbs
管中窥天	guanzhongkuitian,gzkt
管仲	guanzhong,gz
管仲随马	guanzhongsuima,gzsm
管主	guanzhu,gz
管住	guanzhu,gz
管住嘴迈开腿	guanzhuzuimaikaitui,gzzmkt
管准	guanzhun,gz
管子	guanzi,gz
管子工	guanzigong,gzg
管子钳	guanziqian,gzq
管自	guanzi,gz
管综	guanzong,gz
管总	guanzong,gz
管座	guanzuo,gz
