灰埃	huiai,ha
灰没	huimei,hm
灰蒙蒙	huimeng,hm
灰朦朦	huimeng,hm
灰獴	huimeng,hm
灰糜	huimi,hm
灰靡	huimi,hm
灰弭	huimi,hm
灰灭	huimie,hm
灰泯	huimin,hm
灰末	huimo,hm
灰墨	huimo,hm
灰木	huimu,hm
灰泥	huini,hn
灰念	huinian,hn
灰炮	huipao,hp
灰棚	huipeng,hp
灰蓬蓬	huipeng,hp
灰皮诺	huipinuo,hpn
灰瓶	huiping,hp
灰扑扑	huipu,hp
灰奇鹛	huiqimei,hqm
灰气	huiqi,hq
灰躯	huiqu,hq
灰躯糜骨	huiqumigu,hqmg
灰然	huiran,hr
灰壤	huirang,hr
灰人	huiren,hr
灰容土貌	huirongtumao,hrtm
灰色	huise,hs
灰色地带	huisedidai,hsdd
灰色收入	huiseshouru,hssr
灰沙	huisha,hs
灰山鹑	huishanchun,hsc
灰山椒鸟	huishanjiaoniao,hsjn
灰身	huishen,hs
灰身粉骨	huishenfengu,hsfg
灰身灭智	huishenmiezhi,hsmz
灰身泯智	huishenminzhi,hsmz
灰失失	huishi,hs
灰市	huishi,hs
灰匙	huichi,hc
灰鼠	huishu,hs
灰树鹊	huishuque,hsq
灰水	huishui,hs
灰死	huisi,hs
灰燧	huisui,hs
灰孙子	huisunzi,hsz
灰塌塌	huita,ht
灰炭	huitan,ht
灰汤	huitang,ht
灰头斑翅鹛	huitoubanchimei,htbcm
灰头鸫	huitoudong,htd
灰头灰雀	huitouque,htq
灰头椋鸟	huitouliangniao,htln
灰头柳莺	huitouliuying,htly
灰头绿鸠	huitoulujiu,htlj
灰头麦鸡	huitoumaiji,htmj
灰头雀鹛	huitouquemei,htqm
灰头薮鹛	huitousoumei,htsm
灰头土脸	huitoutulian,httl
灰头土面	huitoutumian,httm
灰头鹀	huitouwu,htw
灰头鸦雀	huitouyaque,htyq
灰头鹦鹉	huitouyingwu,htyw
灰头啄木鸟	huitouzhuomuniao,htzmn
灰突突	huitu,ht
灰土	huitu,ht
灰颓	huitui,ht
灰尾漂鹬	huiweipiaoyu,hwpy
灰鹀	huiwu,hw
灰喜鹊	huixique,hxq
灰胁噪鹛	huixiezaomei,hxzm
灰灺	huixie,hx
灰心	huixin,hx
灰心短气	huixinduanqi,hxdq
灰心槁形	huixingaoxing,hxgx
灰心丧气	huixinsangqi,hxsq
灰心丧意	huixinsangyi,hxsy
灰胸薮鹛	huixiongsoumei,hxsm
灰胸竹鸡	huixiongzhuji,hxzj
灰熊	huixiong,hx
灰朽	huixiu,hx
灰哑	huiya,hy
灰烟瘴气	huiyanzhangqi,hyzq
灰岩	huiyan,hy
灰岩残丘	huiyancanqiu,hycq
灰岩鹪鹛	huiyanjiaomei,hyjm
灰岩柳莺	huiyanliuying,hyly
灰眼短脚鹎	huiyanduanjiaobei,hydjb
灰雁	huiyan,hy
灰燕鸻	huiyanheng,hyh
灰燕䴗	huiyanju,hyj
灰窑	huiyao,hy
灰移火变	huiyihuobian,hyhb
灰陨	huiyun,hy
灰殒	huiyun,hy
灰渣	huizha,hz
灰汁	huizhi,hz
灰指甲	huizhijia,hzj
灰志	huizhi,hz
灰质	huizhi,hz
灰滞	huizhi,hz
